usuario,porcentagem_uso_da_cpu,porcentagem_uso_do_disco,memoria_percentual,data
marci,0.0,26.6,74.74216096788653,2026-03-04T11:18:46.472047
marci,11.9,26.6,74.40272384562556,2026-03-04T11:18:49.472923
marci,5.4,26.6,74.46205887585462,2026-03-04T11:18:52.474071
marci,4.6,26.6,74.47937734992064,2026-03-04T11:18:55.475038
marci,7.1,26.6,74.59511544489843,2026-03-04T11:18:58.475916
marci,4.0,26.6,74.6119369756627,2026-03-04T11:19:01.476956
marci,5.0,26.6,74.56199417383674,2026-03-04T11:19:04.478166
marci,4.8,26.6,74.50944241967657,2026-03-04T11:19:07.479557
marci,4.3,26.6,74.50596381656432,2026-03-04T11:19:10.481250
marci,4.2,26.6,74.52810264065731,2026-03-04T11:19:13.482053
marci,6.8,26.6,74.53781788220655,2026-03-04T11:19:16.482808
marci,5.2,26.6,74.5281523349875,2026-03-04T11:19:19.483824
marci,4.5,26.6,74.63479636754325,2026-03-04T11:19:22.484903
marci,3.9,26.6,74.58905273661706,2026-03-04T11:19:25.485936
marci,4.5,26.6,74.62952876854469,2026-03-04T11:19:28.486959
marci,4.3,26.6,74.5891769724425,2026-03-04T11:19:31.488046
marci,3.9,26.6,74.54666347297771,2026-03-04T11:19:34.488999
marci,4.1,26.6,74.54084923634723,2026-03-04T11:19:37.489978
marci,4.5,26.6,74.67944672320557,2026-03-04T11:19:40.491095
marci,6.1,26.6,74.60291745473592,2026-03-04T11:19:43.492148
marci,2.7,26.6,74.63305706598712,2026-03-04T11:19:46.493252
marci,2.4,26.6,74.60609789186712,2026-03-04T11:19:49.494304
marci,2.9,26.6,74.61770151796301,2026-03-04T11:19:52.495285
marci,2.5,26.6,74.60520339392397,2026-03-04T11:19:55.496318
marci,3.3,26.6,74.73686852172288,2026-03-04T11:19:58.497435
marci,2.5,26.6,74.78455023152588,2026-03-04T11:20:01.498448
marci,3.1,26.6,74.77908385520664,2026-03-04T11:20:04.499431
marci,2.9,26.6,74.9549023953661,2026-03-04T11:20:07.500356
marci,2.9,26.6,75.0101624905208,2026-03-04T11:20:10.501389
marci,2.4,26.6,75.02939419629857,2026-03-04T11:20:13.502433
marci,3.0,26.6,74.98310392774047,2026-03-04T11:20:16.503517
marci,2.9,26.6,74.95691501573819,2026-03-04T11:20:19.504497
marci,3.1,26.6,74.91467483508937,2026-03-04T11:20:22.505262
marci,2.5,26.6,74.88791443829008,2026-03-04T11:20:25.506229
marci,3.0,26.6,74.9295582869768,2026-03-04T11:20:28.507219
marci,3.0,26.6,74.98668191951307,2026-03-04T11:20:31.508228
marci,3.4,26.6,75.00183869021649,2026-03-04T11:20:34.509208
marci,3.9,26.6,74.96161112993974,2026-03-04T11:20:37.510186
marci,5.0,26.6,74.78020197763556,2026-03-04T11:20:40.511184
